apn,neighborhood,time_to_construction,units
5327019,Bayview Hunters Point,360.0,2.0
5327038,Bayview Hunters Point,1353.0,2.0
5328053,Bayview Hunters Point,217.0,2.0
5338018,Bayview Hunters Point,594.0,2.0
5339007,Bayview Hunters Point,292.0,0.0
5350042,Bayview Hunters Point,,
5355010,Bayview Hunters Point,439.0,1.0
5379029,Bayview Hunters Point,137.0,1.0
5403035,Bayview Hunters Point,134.0,2.0
5405023,Bayview Hunters Point,1431.0,1.0
5410008,Bayview Hunters Point,641.0,2.0
5419005,Bayview Hunters Point,0.0,0.0
5426030,Bayview Hunters Point,525.0,1.0
5431A001,Bayview Hunters Point,1087.0,271.0
5457030,Portola,0.0,2.0
5476009,Bayview Hunters Point,919.0,73.0
5476014,Bayview Hunters Point,1491.0,1.0
5504001H,Bernal Heights,0.0,2.0
5512029,Bernal Heights,1541.0,2.0
5512031,Bernal Heights,1541.0,2.0
5518023,Bernal Heights,148.0,2.0
5529012,Bernal Heights,662.0,1.0
5556019,Bernal Heights,1437.0,1.0
5577009,Bernal Heights,1771.0,3.0
5577010,Bernal Heights,3406.0,1.0
5577011,Bernal Heights,2294.0,1.0
5597A001,Bayview Hunters Point,973.0,0.0
5598006,Bayview Hunters Point,1783.0,0.0
5610029A,Bernal Heights,0.0,2.0
5617014,Bernal Heights,1440.0,2.0
5619057,Bernal Heights,562.0,1.0
5628046,Bernal Heights,108.0,1.0
5634014,Bernal Heights,881.0,2.0
5673003,Bernal Heights,466.0,3.0
570011,Pacific Heights,907.0,34.0
5825007,Bernal Heights,1127.0,6.0
5825008,Bernal Heights,1653.0,2.0
5826002,Bernal Heights,1886.0,2.0
5859040,Portola,1067.0,1.0
5864009,Portola,194.0,2.0
5880023,Portola,0.0,2.0
5926021,Portola,1765.0,2.0
5926022,Portola,1319.0,1.0
5938049,Excelsior,325.0,2.0
5943008,Excelsior,947.0,80.0
5943050,Excelsior,999.0,1.0
5943051,Excelsior,167.0,1.0
5948026A,Excelsior,637.0,1.0
5948026B,Excelsior,619.0,1.0
5963042,Excelsior,1236.0,1.0
5972040,Portola,776.0,1.0
6022014,Excelsior,1156.0,2.0
6034014,Portola,318.0,1.0
6044003,Portola,178.0,2.0
6080027,Excelsior,510.0,2.0
6086012C,Excelsior,983.0,2.0
6090004,Excelsior,1106.0,1.0
6154012,Portola,0.0,1.0
6176011,Visitacion Valley,2015.0,1.0
619012,Russian Hill,390.0,35.0
6202046,Visitacion Valley,461.0,1.0
6233005,Visitacion Valley,608.0,2.0
6250036,Visitacion Valley,3166.0,4.0
6255006,Visitacion Valley,0.0,1.0
6272018,Excelsior,0.0,2.0
629037,Pacific Heights,563.0,77.0
6345007,Excelsior,458.0,1.0
6349021,Excelsior,1485.0,1.0
6415022,Excelsior,347.0,1.0
6439019,Excelsior,0.0,0.0
6472007,Excelsior,379.0,1.0
6473040,Excelsior,577.0,20.0
6484024,Excelsior,192.0,2.0
6503020,Noe Valley,896.0,2.0
